,Region,Average_R2
0,1_10583_1961168,-7.026606702618238
1,1_3666172_4320751,-0.22364570175760257
2,1_4320751_5853833,-0.19163620982763038
3,1_5853833_7187275,-682.4253143725078
4,1_9305140_10746927,-1.429786510032177
5,1_10746927_11717784,-0.9917735447089004
6,1_11717784_12719464,-0.9372681982411167
7,1_20142656_21410095,-1.070874374230446
8,1_21410095_22760390,-92.47305881407003
9,1_22760390_23594100,-0.7611992994160423
10,1_23594100_25190354,-1.868466928370599
11,1_25190354_27075376,-3.201125001716933
12,1_27075376_29689034,-2.0800432523322914
13,1_29689034_31973084,-1.1589948528618008
14,1_31973084_34334157,-4371.812476857439
15,1_34334157_37083582,-1.7895934405189202
16,1_37083582_38266175,-0.2929488134505
17,1_38266175_39734895,-1.2083648564631084
18,1_39734895_41509656,-36.95306849680799
19,1_41509656_43292786,-2.0331877833156535
20,1_43292786_44503511,-1.039294255940894
21,1_44503511_46433829,-1.8112139292800618
22,1_46433829_47536904,-0.7755669216832459
23,1_47536904_48512516,-0.3247263503551546
24,1_48512516_49428505,-0.46892077099236784
25,1_49428505_51248054,-1.5681989573864117
26,1_51248054_53760589,-4.531696741125705
27,1_53760589_55947444,-1.9270340643857167
28,1_56556055_58399727,-5.834269808146758
29,1_58399727_59424737,-7.720570508944178
30,1_59424737_61456693,-4.542095330969213
31,1_61456693_62989418,-5.372788146587571
32,1_62989418_64576021,-1.2926127431084713
33,1_64576021_66473721,-2.3701366640216435
34,1_66473721_68012212,-1.2632507007065148
35,1_68012212_69221933,-0.3236851307161451
36,1_69221933_70906787,-3.2795127307314074
37,1_70906787_71218722,-0.12150302882443387
38,1_71218722_73861224,-0.5497071917837568
39,1_73861224_76262450,-9.754691562262071
40,1_76262450_79195513,-119.23586951221117
41,1_83526065_84378812,-0.20988483842308597
42,1_84378812_85989068,-18.15943211786209
43,1_85989068_87662948,-2.8048290545994417
44,1_87662948_89600744,-0.37531899855855866
45,1_89600744_91420760,-3.092146256947072
46,1_91420760_93070902,-0.6810232838521841
47,1_93070902_94040635,-0.49992205168692505
48,1_94040635_95685337,-1.2943084099261781
49,1_95685337_97419693,-0.768695578245841
50,1_97419693_99335048,-1.8287507097299631
51,1_99335048_100360849,-0.9408593353857173
52,1_100360849_101575460,-0.47573846127810926
